longitude,latitude,hour,dayofweek
-71.0457906,42.3531033,18,1
-71.0457906,42.3531033,18,1
-71.049329,42.3564952,18,1
-71.13604279999998,42.3466478,17,1
-71.0642268,42.3400908,17,1
-71.11073010000001,42.3518484,17,1
-71.2182365,42.3705313,17,1
-71.0723373,42.349581699999995,17,1
-71.11860250000001,42.3733177,17,1
-71.10357999999997,42.3415836,17,1
-71.12721540000001,42.3990632,17,1
-71.11059090342917,42.34049097288026,17,1
-71.04037400571491,42.316502346635154,17,1
-73.91506900000002,40.7495045,17,1
-71.046686,42.3511205,17,1
-71.09277159999999,42.3725275,18,1
-71.12012176223061,42.373330525363606,18,1
-71.04829110000003,42.36606159999999,18,1
-71.10420607259451,42.35626494304531,18,1
-71.0659517,42.2911068,18,1
-71.1068416,42.3460016,18,1
-71.1067478,42.3784073,18,1
-71.1067478,42.3784073,18,1
-71.09754909999998,42.3489705,18,1
-71.12409100000002,42.3807617,18,1
-71.11102275514902,42.33840505696209,18,1
-73.9761608,40.7310934,18,1
-71.1233672,42.3778943,18,1
-71.08173181309465,42.36429910645109,18,1
-73.88574299999999,40.8600354,18,1
-70.60972592805324,41.744339055615086,17,1
-71.0466618,42.351107899999995,17,1
-71.0466618,42.351107899999995,17,1
-71.05530399999998,42.352311,17,1
-70.60972592805324,41.744339055615086,17,1
-73.90556012847418,40.688580442256736,17,1
-73.90544968521415,40.688741290427515,17,1
-71.0898892,42.339904,17,1
-71.08538379999999,42.33683420000001,17,1
-71.06760073230815,42.33740834405609,17,1
-71.12769555542388,42.353420030484564,17,1
-71.07025500406982,42.327631599345935,17,1
-71.04787998839379,42.352537703739806,17,1
-71.11073010000001,42.3518484,17,1
-71.1032475,42.3362304,17,1
-71.04801299999997,42.3522635,17,1
-71.1042309,42.3387852,18,1
-71.10427,42.3749475,18,1
-71.05861800000002,42.358143,18,1
-71.04716665375031,42.35184137506125,18,1
-71.09344779999998,42.3582881,19,1
-71.07785493142072,42.36912544820678,19,1
-71.1540904,42.3396356,19,1
-71.061757,42.3493853,19,1
-71.05219189084232,42.35773519616794,19,1
-71.1148687,42.3711736,19,1
-71.12116349999997,42.33176419999999,19,1
-71.0466842627405,42.3512542392851,19,1
-71.0625653,42.3527062,18,1
-71.03749896244696,42.282905655249856,19,1
-73.88660199999998,40.681206,19,1
-72.53231389999996,41.7599267,19,1
-71.0482911,42.366061599999995,19,1
-71.06616300000002,42.4250964,19,1
-71.03859056608104,42.37284615276067,19,1
-71.05689869999998,42.3585742,19,1
-71.11699699999997,42.343327,19,1
-87.7483661298506,41.792529925543114,19,1
-71.05262716307402,42.365010939577935,19,1
-71.0974859353817,42.34578503299723,19,1
-71.1077957856158,42.36180127039742,19,1
-71.1077957856158,42.36180127039742,19,1
-71.0236801,42.3655265,19,1
-71.1271512,42.3545713,19,1
-71.12186442096521,42.390602338692126,21,0
-71.05101769999999,42.3594985,23,0
-71.112875,42.3650592,23,0
-71.057161022365,42.361386651949026,23,0
-71.09281061999997,42.38922697999998,0,1
-71.0657618683117,42.35103389480117,2,1
-71.27429850174349,42.29796593933989,21,0
-71.27432766821427,42.297951781451616,21,0
-71.2923877,42.296797,21,0
-71.14363709999999,42.360034299999995,3,1
-71.14363709999999,42.360034299999995,3,1
-71.05822519999998,42.3575038,4,1
-71.0929275,42.2678045,7,1
-71.09766795770382,42.343054601564724,7,1
-71.13010685957663,42.29078268712197,7,1
-71.1126208,42.3717311,7,1
-71.0720808,42.3440955,8,1
-71.093904,42.2663366,7,1
-71.11660480020042,42.31028341390201,7,1
-71.13263529999999,42.3899179,7,1
-71.1260273215092,42.3537727352626,7,1
-71.1081343,42.3995091,7,1
-71.08654907999997,42.347302769999985,7,1
-71.06803078923622,42.34555279587579,7,1
-71.14555065172993,42.34298439171938,7,1
-71.0976374367356,42.343096325235656,7,1
-71.09767207895725,42.34320969121339,7,1
-71.13311069999997,42.3587497,8,1
-71.09478309999997,42.3704823,8,1
-71.11775190000003,42.3488039,8,1
-71.08840359999999,42.32182359999999,8,1
-71.1171405,42.3441878,8,1
-71.03123169999998,42.3339115,8,1
-71.05824715583593,42.35759087574644,9,1
-71.1206808,42.3735596,9,1
-71.1079692,42.3798058,9,1
-71.1079692,42.3798058,9,1
-71.16178649999999,42.37437430000001,8,1
-71.09905360829401,42.34413104123755,8,1
-71.1292917,42.2788783,8,1
-71.11777909999999,42.3481636,8,1
-71.08987617313032,42.3716718703903,9,1
-71.00955999999996,42.365613,9,1
-71.0844715,42.3640061,9,1
-71.1081714,42.3682679,9,1
-71.05824715583593,42.35759087574644,9,1
-71.09766795770382,42.343054601564724,9,1
-71.1277872,42.4161599,9,1
-71.16258573480954,42.353063977058696,9,1
-71.0472795926696,42.351388544815,9,1
-71.1022875,42.3676185,9,1
-71.09081427573328,42.39037868570759,9,1
-71.07855399113934,42.36940307196803,9,1
-71.1280039,42.3524454,9,1
-71.0845736,42.373984,11,1
-71.1659877,42.3635364,11,1
-71.04386901855466,42.35002136230467,11,1
-71.03628100000003,42.3687449,11,1
-71.06554299999999,42.3614172,11,1
-71.2640086,42.4654307,11,1
-71.12809113227314,42.397700513406534,10,1
-71.11265,42.37173070000001,10,1
-71.00540899999999,42.251809,11,1
-71.0482911,42.366061599999995,11,1
-71.07873828852178,42.36944440001722,11,1
-71.10104697003646,42.41010017709721,11,1
-71.10291169999999,42.40078159999999,11,1
-71.2640086,42.4654307,11,1
-71.2640124,42.46544110000001,11,1
-71.10104697003646,42.41010017709721,11,1
-71.16977539999999,42.336200999999996,11,1
-71.1349547,42.3385271,4,1
-71.1154439,42.3086855,4,1
-71.11513149999999,42.3952686,4,1
-71.1279616,42.3522693,5,1
-71.0168845031199,42.36648335088222,6,1
-71.09766775269487,42.34311964914845,6,1
-71.11103820481384,42.35948181195252,6,1
-71.08376369999996,42.4260258,5,1
-71.08995569999999,42.3919182,6,1
-71.08995569999999,42.3919182,6,1
-71.10204799999997,42.3886139,6,1
-71.1035561,42.3149466,6,1
-71.04124004310249,42.33641782865201,5,1
-71.11103820481384,42.35948181195252,6,1
-71.10637387432806,42.39713136460013,6,1
-71.1386531889524,42.35384506069825,7,1
-71.08774357783264,42.346788747832356,7,1
-71.13891009999999,42.3803274,11,1
-71.25174199999998,42.337059,12,1
-71.1002881,42.3476181,11,1
-71.0949981,42.3622616,11,1
-71.15340989999999,42.367272,11,1
-71.08097570000001,42.3716445,11,1
-71.08988920000002,42.339904,23,0
-71.06902664844331,42.34531434877898,23,0
-71.07557512134817,42.34216593530766,23,0
-71.1518837,42.3720866,23,0
-71.075828,42.347317,0,1
-71.08097570000001,42.35026480000001,0,1
-71.04159206471837,42.31747173136824,0,1
-71.04159206471837,42.31747173136824,0,1
-71.11288069999999,42.3717676,1,1
-71.10794620000001,42.3797839,1,1
-71.13346994292476,42.34873378536543,20,0
-71.1752278358407,42.32178471055098,20,0
-71.1752278358407,42.32178471055098,20,0
-71.17604674778056,42.3212855263076,20,0
-70.9964069,42.3726077,20,0
-71.0654629,42.350888,20,0
-71.04587939999999,42.3531233,21,0
-71.04848749662999,42.338351713810795,21,0
-71.0906168,42.3660649,21,0
-71.05476964911227,42.357361718068596,20,0
-71.1244667,42.39218030000001,20,0
-71.09846987298586,42.34087095644057,20,0
-71.09846987298586,42.34087095644057,20,0
-71.11514310000001,42.3097365,21,0
-71.04167446750705,42.31747019072733,21,0
-71.145343,42.3428695,21,0
-71.11692904795619,42.386810522658344,21,0
-71.10446230000002,42.3653363,22,0
-71.1165095,42.3215093,22,0
-71.10782740000002,42.3887444,22,0
-71.116649,42.3794831,22,0
-71.095711,42.3606984,22,0
-71.12230060000002,42.3429981,22,0
-71.05965694476741,42.35847560934617,22,0
-71.12039171999997,42.307106529999984,10,1
-71.12922950000001,42.3536383,10,1
-71.25772330000001,42.3624504,10,1
-71.04730196222592,42.351390986502224,10,1
-71.08576699999998,42.348475,10,1
-71.09286029999998,42.35704390000001,10,1
-71.13070399999998,42.404668,10,1
-71.0655544,42.2906209,10,1
-71.10727509999998,42.3383662,12,1
-71.055281,42.358836,12,1
-71.12643682082276,42.287819456955035,15,1
-71.40982697604294,42.28890333790488,15,1
-71.05888010000001,42.3600825,15,1
-71.12721540000001,42.3990632,15,1
-71.11384024306658,42.365819482679164,15,1
-71.1220606696523,42.38086153757049,15,1
-88.13960929999996,42.0093699,15,1
-71.0438222,42.3545997,15,1
-71.1220606696523,42.38086153757049,15,1
-71.0471336,42.351438699999996,14,1
-71.06975951626058,42.34431398145046,14,1
-71.09545100000003,42.331397,14,1
-71.10777389989632,42.33669943767787,14,1
-71.08097570000001,42.3241223,14,1
-71.10782930285765,42.336565765613464,14,1
-71.1190766,42.3087249,15,1
-71.0804061,42.3841095,15,1
-71.10373290000001,42.3475992,15,1
-71.13668986255836,42.38500953850522,15,1
-71.0471428,42.351370100000004,16,1
-71.04142005660798,42.31740458182813,16,1
-71.04711449999999,42.351528599999995,16,1
-71.40984275384938,42.28896000426476,15,1
-71.0471428,42.351370100000004,16,1
-71.0470125,42.35129149999999,14,1
-71.09051915544136,42.4085872420511,14,1
-71.1260719,42.350527,14,1
-73.90556335449216,40.68857574462889,16,1
-73.90542559571185,40.68874543502852,16,1
-71.06232820000002,42.3595028,16,1
-71.05056708146422,42.35355150867093,16,1
-73.90548296968862,40.68872126423544,16,1
-73.90543799871323,40.68866439604548,16,1
-71.04862608924032,42.348255662271505,12,1
-71.12382008011983,42.4017782211341,16,1
-71.08994725166922,42.336555761324554,16,1
-71.1032475,42.3457368,16,1
-71.0252041,42.3337113,16,1
-71.11451242765564,42.36696541867464,16,1
-71.0641124,42.2886411,16,1
-71.0597955,42.2882898,16,1
-71.10539465590313,42.33529364777811,16,1
-122.27274699999998,37.8715926,16,1
-71.0901571,42.362262799999996,16,1
-71.1032475,42.3362304,16,1
-122.43792000000002,37.76955,16,1
-71.08699469999999,42.3609259,16,1
-122.24979080000003,37.8443597,16,1
-71.1172292,42.3782602,16,1
-71.0465655,42.351136499999996,16,1
-71.09889609999999,42.3440365,16,1
-71.1252928,42.3833894,16,1
-71.06137063379572,42.35387011348789,16,1
-71.12203769999999,42.374819099999996,13,1
-71.1283221,42.3297005,12,1
-71.1283221,42.3297005,12,1
-71.04656709999999,42.351164999999995,15,1
-71.11391114817543,42.36557819620236,15,1
-71.12643682082276,42.287819456955035,15,1
-71.10619849627466,42.349084984359415,15,1
-71.10619849627466,42.349084984359415,15,1
-71.0525834,42.3108862,15,1
-71.0592782,42.358471099999996,15,1
-71.41180099999997,41.8239964,15,1
-71.12886689999999,42.285955,14,1
-71.046486,42.351109,15,1
-71.05163449999999,42.354349,13,1
-87.75218799999999,41.786776,15,1
-71.40982347564037,42.28888787978109,15,1
-71.05163449999999,42.354349,13,1
-71.12958658026871,42.33976624485377,14,1
-71.12582881316557,42.3316879845834,13,1
-71.12582881316557,42.3316879845834,13,1
-71.09545100000003,42.331397,13,1
-71.08311830000002,42.3650007,16,1
-71.0463267,42.3510975,16,1
-71.10200600000002,42.3598605,16,1
-71.0482911,42.366061599999995,18,1
-71.0351393,42.3458981,18,1
-71.10621409999999,42.37789739999999,18,1
-71.07905563905004,42.36887344628793,18,1
-122.42045210000003,37.7667902,18,1
-71.13503209999999,42.3945455,18,1
-71.1093259,42.3990201,18,1
-122.3425575,47.6600087,18,1
-71.218861,42.3704183,17,1
-71.13891009999998,42.3803274,17,1
-71.05052637824828,42.34764035418841,17,1
-71.1097335,42.3736158,16,1
-71.12164999999999,42.3704128,17,1
-71.1659811,42.3635774,17,1
-71.1659811,42.3635774,17,1
-71.10446230000002,42.3653363,17,1
-71.09754900000001,42.34897,16,1
-71.13891009999999,42.3803274,17,1
-71.055708,42.3376242,17,1
-71.046633,42.351147499999996,16,1
-71.1018308,42.3440582,17,1
-71.10118419999999,42.3596414,17,1
-71.2182365,42.3705313,17,1
-71.04074400000002,42.317028,17,1
-71.2182365,42.3705313,17,1
-71.10357999999997,42.3415836,17,1
-71.10357999999997,42.3415836,17,1
-71.10780775454883,42.36183781930778,17,1
-83.36069712473012,42.2032356065295,17,1
-71.00955999999996,42.365613,17,1
-71.05765500000001,42.330154,17,1
-73.90561556757802,40.688843583989105,17,1
-71.11059090342917,42.34049097288026,17,1
-71.08137736779234,42.3404378098401,17,1
-71.11541413341214,42.37717163169416,17,1
-71.05032625093259,42.35193724478618,17,1
-71.07171719999997,42.4425404,18,1
-71.0139062070018,42.3621949553884,17,1
-71.0472308,42.3513642,17,1
-71.12702680000001,42.3593008,17,1
-71.08538379999999,42.33683420000001,17,1
-71.06760073230815,42.33740834405609,17,1
-71.0552868128728,42.329251533037,17,1
-71.05277209999997,42.3582513,17,1
-71.09262483063506,42.35122818942538,18,1
-71.12012176223061,42.373330525363606,18,1
-73.95460709999998,40.7323156,18,1
-71.04682738899351,42.3512730002798,18,1
-74.18878699999999,40.716359,18,1
-71.0470125,42.35129149999999,18,1
-71.10995070000001,42.3876164,18,1
-122.41941550000001,37.7749295,18,1
-71.05573634623649,42.35966374635916,18,1
-71.07138150000003,42.3967982,18,1
-71.14677660000001,42.3949951,18,1
-71.07452469999998,42.427256,18,1
-71.13363816789254,42.34895951474789,18,1
-71.05709027566634,42.36090086392238,18,1
-71.1221479,42.3742897,18,1
-74.00594130000002,40.7127837,18,1
-71.13145709999998,42.3853114,19,1
-71.1148687,42.3711736,19,1
-71.09281854999998,42.368133599999986,19,1
-71.1243719,42.3634111,19,1
-71.11699699999997,42.343327,19,1
-71.0765188,42.353068,19,1
-71.08638580000002,42.3482704,19,1
-71.07918999999997,42.36880167999998,19,1
-71.09469000000001,42.389598,19,1
-71.05888010000001,42.3600825,19,1
-71.12120099999999,42.342213,19,1
-71.05257619842442,42.36499767832409,19,1
-71.00955999999996,42.365613,19,1
-71.142853,42.343864,19,1
-71.1149714,42.3662044,19,1
-71.06988522999998,42.36764277999998,19,1
-71.0909083,42.3505427,19,1
-71.08735656780011,42.36784362790402,19,1
-71.08988920000002,42.339904,22,0
-71.1364552,42.339942,22,0
-122.27274699999998,37.8715926,22,0
-71.0181032,42.3709514,22,0
-71.05965694476741,42.35847560934617,22,0
-71.0809453,42.3861753,21,0
-71.11063380000002,42.3524262,21,0
-71.05510517131702,42.31516438285245,21,0
-71.04587939999999,42.3531233,21,0
-71.1626756,42.3463503,4,1
-71.1364552,42.339942,4,1
-71.0627357,42.3516091,4,1
-71.1040724057139,42.34264482470374,4,1
-71.1154439,42.3086855,4,1
-71.06424800000002,42.287507,5,1
-71.11819570117082,42.3410945514709,6,1
-71.13022799610265,42.2908782866246,6,1
-71.12120099999999,42.342213,6,1
-71.0232125,42.2809361,6,1
-71.1386531889524,42.35384506069825,6,1
-71.10573092693595,42.38313803576278,7,1
-71.07865554455762,42.40793944779314,7,1
-71.1451533,42.3547385,7,1
-71.136462,42.289358,7,1
-71.10627999999997,42.335089,7,1
-71.14197349999999,42.3493316,7,1
-71.09889609999999,42.3440365,7,1
-71.09878137165879,42.34446265544807,7,1
-71.09878137165879,42.34446265544807,7,1
-71.06980894561801,42.34210050572,7,1
-71.11747980000001,42.3475634,7,1
-71.13010685957663,42.29078268712197,7,1
-71.0527881,42.342010099999996,7,1
-71.0695938649439,42.342214868419035,7,1
-71.0695938649439,42.342214868419035,7,1
-71.0948488,42.3704392,8,1
-71.1180401,42.3477043,8,1
-71.0308781,42.2733207,8,1
